originator,stdErrMultiple,OML.ols,OML.mlm,GML.ols,GML.mlm,Competitive Suppression.ols,Competitive Suppression.mlm,Direct Suppression.ols,Direct Suppression.mlm,Generalized Competitive Suppression.ols,Generalized Competitive Suppression.mlm,Generalized Direct Suppression.ols,Generalized Direct Suppression.mlm,ROE Competitive Suppression.ols,ROE Competitive Suppression.mlm,ROE Direct Suppression.ols,ROE Direct Suppression.mlm
OML,0.6,-112.501510329304,-112.501510329304,-139.513680850528,-127.870792645756,-195.612266592116,-195.612266592116,-129.84190258195,-129.84190258195,-218.234143856363,-210.273760185646,-148.270547034881,-142.318794602468,-121.279217630868,-120.497153467709,-300.854505111567,-116.556981199684
OML,0.6,-93.9362923807951,-93.9362923807951,-181.089249713111,-148.455991815574,-186.174145348498,-186.174145348498,-143.920672259163,-143.920672259163,-232.993089362829,-214.06238261896,-170.711677236384,-164.404399860388,-102.516008581192,-98.7937288787006,-570.785893897985,-124.193610055082
OML,0.6,-118.565916499969,-118.565916499969,-162.514255726639,-147.84273661632,-187.950321994803,-187.950321994803,-141.374276009925,-141.374276009925,-217.413911156695,-209.201449619095,-177.5749536654,-164.100302538543,-130.552050295763,-121.697950934619,-195.116076551383,-121.133143686642
OML,0.6,-97.4418181059915,-97.4418181059915,-138.647758040622,-125.223993714367,-176.205612621192,-176.205612621192,-120.820836561441,-120.820836561441,-224.681635892914,-203.011083122474,-179.572566556246,-149.094346351537,-141.858502410812,-139.798633258601,-109.460951019172,-94.2118215713731
OML,0.6,-110.458828988834,-110.458828988834,-130.58139075262,-124.537623873239,-183.305610011792,-183.305610011792,-138.500834165879,-138.500834165879,-216.859768140535,-200.262250452052,-162.320099569996,-148.430733493942,-116.137129534965,-112.227031735483,-359.31286692338,-108.876481234417
OML,0.6,-100.716841196182,-100.716841196182,-130.927216369991,-126.554728408852,-181.417078311302,-181.417078311302,-149.843547140067,-149.843547140067,-215.481230383698,-207.652452426543,-170.41872663479,-157.821339267564,-123.24201631757,-115.762525928863,-145.079041247121,-100.24353384717
OML,0.6,-114.653411689773,-114.653411689773,-164.760218365113,-146.079655595562,-175.069581680658,-175.069581680658,-137.441467196623,-137.441467196623,-212.881283469404,-194.231362050989,-187.986728041872,-153.93349487291,-140.99642787101,-132.409183109875,-118.610696579297,-114.19696594577
OML,0.6,-104.896782420132,-104.896782420132,-138.170801467475,-131.112182089977,-187.623745335153,-187.623745335153,-152.731224911618,-152.731224911618,-218.987758221441,-212.302646986128,-163.362400972958,-155.344310982809,-110.351246412981,-108.734963656621,-446.556712246898,-109.722787460171
OML,0.6,-131.798071391071,-131.798071391071,-191.040908539709,-179.146513319136,-206.303353473797,-206.303353473797,-133.621293822573,-133.621293822573,-248.960714723225,-226.298058852994,-164.260149905723,-150.54511807074,-136.578753426537,-134.530574822812,-447.831140785432,-122.554038691553
OML,0.6,-102.11273647842,-102.11273647842,-134.576935788188,-124.604153838648,-208.50699565004,-208.50699565004,-146.739882818548,-146.739882818548,-247.748037804138,-229.558913338023,-218.384172521562,-190.366150765919,-183.620170591114,-112.675447746351,-111.961396949049,-102.942991443665
OML,0.7,-116.852430069381,-116.852430069381,-198.132321405018,-160.745923628118,-192.676534500127,-192.676534500127,-150.452489685673,-150.452489685673,-236.123309618323,-225.447719404339,-194.348612701311,-174.74124849929,-129.884479667461,-125.071998685911,-327.738864479486,-124.248668882606
OML,0.7,-125.80209064956,-125.80209064956,-194.615009691276,-178.67982310937,-191.720164757308,-191.720164757308,-141.670214808467,-141.670214808467,-253.791798592844,-224.205883405649,-194.155640266715,-177.959383043615,-138.358715825105,-136.038101786943,-154.105122520508,-130.932152666877
OML,0.7,-125.188029006247,-125.188029006247,-198.244664885836,-180.988222857706,-196.335664724216,-196.335664724216,-171.801260712836,-171.801260712836,-245.388295098921,-227.224396943148,-260.141350295317,-229.828348404312,-142.992338239697,-140.642374506629,-181.153797826354,-174.108317384964
OML,0.7,-118.378754657908,-118.378754657908,-171.220613445791,-152.884647072349,-191.453649582277,-191.453649582277,-149.175425728585,-149.175425728585,-217.505711178549,-203.31994128598,-189.268811742639,-165.334075480607,-172.817705818235,-128.849393656059,-142.938348703649,-119.863052353633
OML,0.7,-125.238025835938,-125.238025835938,-189.878622172746,-154.419731236996,-179.60681983758,-179.60681983758,-142.281049855931,-142.281049855931,-205.367316026633,-197.741529299187,-206.092763298595,-177.648240309382,-134.898636600936,-131.962142913988,-127.054558564395,-124.563640542844
OML,0.7,-120.658156864808,-120.658156864808,-167.770931888135,-158.177769488291,-189.761095847247,-189.761095847247,-164.661721793802,-164.661721793802,-235.569711746822,-222.78396140396,-203.485396667754,-186.095962879567,-132.03303792449,-124.465904612697,-155.469664801115,-122.980967337971
OML,0.7,-117.330220933487,-117.330220933487,-165.726968254563,-158.738691021097,-179.295514153351,-179.295514153351,-154.705288182471,-154.705288182471,-209.893397061999,-202.474615074966,-366.637718960597,-283.001412981987,-121.029044599239,-119.53277442895,-116.233738762005,-117.529322088677
OML,0.7,-111.705396992298,-111.705396992298,-143.237159692427,-140.801484595975,-189.046506270605,-189.046506270605,-151.46416983093,-151.46416983093,-219.976966888188,-213.121514528714,-190.113211210382,-176.705307187686,-113.893658482951,-112.642895038278,-223.013240089057,-113.469039742015
OML,0.7,-111.477302794903,-111.477302794903,-207.5625143633,-147.02324476039,-188.419756461672,-188.419756461672,-170.713841896323,-170.713841896323,-216.665550201125,-207.086118186343,-213.754811140674,-198.355273352138,-122.015903869521,-116.983864273338,-191.790983125762,-114.228941269725
OML,0.7,-140.989977270343,-140.989977270343,-180.6052968643,-160.968253047862,-200.353376538374,-200.353376538374,-159.299091424629,-159.299091424629,-227.10553469047,-216.345099574578,-191.609783957648,-179.916119439469,-143.89835394631,-138.87286665126,-226.259317575741,-143.484197234604
OML,0.8,-173.121175552663,-173.121175552663,-276.897442852471,-219.780174314539,-209.945523514283,-209.945523514283,-179.309739916072,-179.309739916072,-350.197295731316,-333.157579226256,-303.629857505633,-295.868461405331,-188.702221483717,-173.875094944056,-223.542150797997,-165.896014620785
OML,0.8,-142.609962198516,-142.609962198516,-164.148482582814,-159.272220988065,-210.459321036106,-210.459321036106,-159.962936226563,-159.962936226563,-246.622685418232,-239.864252916028,-178.893909009317,-169.323897953759,-164.716445765086,-150.250445085487,-211.00825296481,-195.552111692824
OML,0.8,-153.083779917162,-153.083779917162,-239.252177159213,-219.616123165852,-195.640963740913,-195.640963740913,-169.076725379411,-169.076725379411,-251.658734067412,-217.862351972822,-283.241327681604,-251.827452098913,-159.236752870466,-157.658695607,-186.121087703379,-153.300093381838
OML,0.8,-132.914905452244,-132.914905452244,-219.364146948407,-186.428865687331,-194.303982778544,-194.303982778544,-153.645657695929,-153.645657695929,-225.469335770677,-213.780908803502,-337.280876201059,-191.790413244223,-139.08106832171,-137.448399431834,-132.723997297458,-132.38175758088
OML,0.8,-124.705722945833,-124.705722945833,-173.947827622793,-159.922821989354,-198.828570213328,-198.828570213328,-147.289782530416,-147.289782530416,-241.161827657202,-230.150733269372,-199.097068397381,-169.489817993337,-140.537098620409,-138.060075693924,-208.344958721801,-207.622097819601
originator,stdErrMultiple,OML.ols,OML.mlm,GML.ols,GML.mlm,Competitive Suppression.ols,Competitive Suppression.mlm,Direct Suppression.ols,Direct Suppression.mlm,Generalized Competitive Suppression.ols,Generalized Competitive Suppression.mlm,Generalized Direct Suppression.ols,Generalized Direct Suppression.mlm,ROE Competitive Suppression.ols,ROE Competitive Suppression.mlm,ROE Direct Suppression.ols,ROE Direct Suppression.mlm
OML,0.5,-85.017033708411,-85.017033708411,-189.177880615975,-159.291307644599,-175.169637990946,-175.169637990946,-117.852324644243,-117.852324644243,-200.189985431708,-192.921091192504,-151.286610344007,-131.862177662413,-91.5076044234924,-89.960056524641,-112.749785465768,-102.489238162628
OML,0.5,-93.8904856797626,-93.8904856797626,-150.32603249631,-136.439975919961,-183.280395973441,-183.280395973441,-128.562920588606,-128.562920588606,-217.122003071891,-208.971061027094,-165.849312644,-154.13841862754,-101.652496170785,-100.562752961399,-108.295353308221,-94.9791061843585
OML,0.5,-77.454890228034,-77.454890228034,-95.0966734006754,-90.5174107683142,-202.31870485674,-202.31870485674,-114.993241539944,-114.993241539944,-216.84084805474,-209.358469177192,-151.906691880426,-137.423501655823,-112.217209916019,-100.630659641461,-300.913204265358,-75.254767289478
OML,0.5,-125.378346433902,-125.378346433902,-163.715062906071,-152.800788304457,-186.532930094069,-186.532930094069,-127.319878364936,-127.319878364936,-201.473847673849,-196.891184837223,-156.447909764416,-141.078152091201,-152.809013115815,-146.498552907689,-649.082549783973,-112.504187985965
OML,0.5,-88.4711484084509,-88.4711484084509,-126.540707971285,-108.404403024439,-182.152682965397,-182.152682965397,-181.73631467909,-181.73631467909,-213.321063167664,-197.784915159503,-240.577366505901,-208.384219401133,-91.2779354005551,-89.9664807499617,-115.236634591212,-94.5392230510706
OML,0.5,-92.686756121547,-92.686756121547,-197.691416771221,-167.471698772136,-193.421817872618,-193.421817872618,-132.633375696659,-132.633375696659,-216.336683222876,-205.709899476547,-274.028469958081,-221.432200963314,-103.313842395825,-101.388387836777,-176.705870145142,-173.370022519155
OML,0.5,-91.8221685423791,-91.8221685423791,-120.435711377802,-111.930846059111,-183.335213953811,-183.335213953811,-114.209549879957,-114.209549879957,-203.712467280423,-197.523784598553,-171.869717481186,-143.352254255746,-91.7162030580838,-90.8125860036894,-183.46424622028,-87.2807191806647
OML,0.5,-71.6677012710013,-71.6677012710013,-127.355283383591,-108.870918041375,-176.605337994128,-176.605337994128,-118.33899183937,-118.33899183937,-265.672305013646,-199.745296876214,-233.892264087308,-156.466702900483,-78.5327190997539,-77.5315776004569,-295.632987706143,-72.4591996431489
OML,0.5,-88.2595415345682,-88.2595415345682,-127.389701751473,-116.972914630575,-223.188002749385,-223.188002749385,-143.848872548717,-143.848872548717,-243.134554893424,-235.980636657055,-178.222252238339,-147.299868253993,-111.1063081735,-103.6852625336,-112.761238097889,-93.8624690664245
OML,0.5,-61.7057497989698,-61.7057497989698,-205.027245111168,-93.2597910475131,-181.746119306136,-181.746119306136,-117.102194043802,-117.102194043802,-255.994680614581,-237.67308254581,-162.679420799562,-132.549073894122,-82.1714845081779,-74.4640410280021,-273.149168943927,-65.0625620800446
OML,0.6,-108.123957254161,-108.123957254161,-200.440795631342,-184.256992007678,-184.093244146767,-184.093244146767,-141.315945955289,-141.315945955289,-223.501425570616,-215.583734811391,-246.506294571965,-218.675353734805,-117.616190141585,-115.45245373365,-252.45733735172,-115.767937868724
OML,0.6,-87.0430310126319,-87.0430310126319,-201.903765273053,-122.098741667815,-227.268544539363,-227.268544539363,-146.767529228401,-146.767529228401,-243.765937087044,-229.839123362523,-198.829532843694,-170.491675362808,-120.59042592426,-111.530647218011,-241.141668126879,-87.9940945121032
OML,0.6,-114.194432230977,-114.194432230977,-133.654530695929,-127.423424298522,-195.883965947954,-195.883965947954,-132.439634006899,-132.439634006899,-244.30033668787,-211.707181553884,-155.979779302046,-143.901437860664,-128.418005455608,-118.056704087126,-271.96007841383,-212.921202685795
OML,0.6,-97.7332636466616,-97.7332636466616,-129.551738347969,-122.229973563865,-192.719385759368,-192.719385759368,-149.929715503908,-149.929715503908,-216.786174105379,-210.005002527037,-164.742799998204,-158.397418465875,-106.214419309101,-103.982632727901,-486.372935775243,-101.898825174691
OML,0.6,-100.142029126092,-100.142029126092,-141.854434456953,-127.391420434364,-188.25093846222,-188.25093846222,-148.209016512132,-148.209016512132,-213.127269782102,-197.934282910717,-189.86219356501,-169.568475191218,-106.069882101905,-102.819303160496,-338.347661039437,-99.4799706350959
OML,0.6,-107.840351867028,-107.840351867028,-157.063293594918,-142.157623381203,-199.630559955502,-199.630559955502,-138.691340809779,-138.691340809779,-243.220474411834,-221.916704693868,-272.779284397075,-211.62636522212,-134.227952469743,-119.782679614965,-364.697495514529,-111.111377268565
OML,0.6,-108.129511016395,-108.129511016395,-135.384007365646,-127.508604437557,-184.733167718883,-184.733167718883,-133.385342174575,-133.385342174575,-203.187553974083,-197.271192967505,-176.021680463744,-155.163159580808,-130.55463663407,-126.802431382421,-337.701073757346,-203.743439048237
OML,0.6,-107.42222173239,-107.42222173239,-176.082769797425,-170.1392862488,-187.294330609251,-187.294330609251,-124.076625135132,-124.076625135132,-214.430981062514,-205.152752869527,-173.007054878489,-153.357067704791,-186.56460185309,-174.824389134405,-123.570703084885,-106.23107328829
OML,0.6,-119.753389235645,-119.753389235645,-194.298624226052,-177.981214216768,-189.39158649728,-189.39158649728,-134.084089238725,-134.084089238725,-227.573134440751,-216.520871081379,-194.907573415427,-166.428347104128,-150.69089549728,-139.042201896349,-121.784394299404,-114.16920744329
OML,0.6,-117.842054731992,-117.842054731992,-180.065837735708,-172.411229242035,-188.63686073808,-188.63686073808,-143.064931174657,-143.064931174657,-232.822081185973,-219.817842859267,-190.681933535319,-168.625316444493,-125.434210024589,-124.203172644799,-401.938384509369,-129.573358081418
OML,0.7,-125.606776572912,-125.606776572912,-166.221571085973,-153.368084293558,-190.247488670086,-190.247488670086,-153.370237982782,-153.370237982782,-208.071235919398,-204.511798049072,-193.859986473697,-175.525455562229,-130.109208679257,-128.845377475699,-368.191216575769,-168.144462249127
OML,0.7,-124.235638256425,-124.235638256425,-168.729094887826,-150.58880103353,-194.723097854764,-194.723097854764,-161.998866718341,-161.998866718341,-253.333322778643,-231.342383811144,-211.944293229596,-176.352990584042,-136.416449043963,-133.192004531533,-136.832558219514,-124.316929729592
OML,0.7,-132.023843552477,-132.023843552477,-166.887502757539,-153.114367314104,-184.928277921363,-184.928277921363,-163.471103342817,-163.471103342817,-222.442560774181,-203.505822131934,-238.848112510555,-209.948828688011,-135.186682571979,-133.487579683105,-138.736674146962,-131.139130803471
OML,0.7,-129.590263728712,-129.590263728712,-209.437246111219,-187.948193944753,-206.182429998053,-206.182429998053,-152.717860513575,-152.717860513575,-230.95488550697,-224.1165230564,-177.685372814387,-166.419499666834,-139.394016067124,-132.054448687793,-138.26341136005,-128.145384363327
OML,0.7,-115.822435346343,-115.822435346343,-201.170338413447,-169.056791902279,-196.980263327663,-196.980263327663,-134.166044616264,-134.166044616264,-216.957300554742,-210.943203585183,-171.799735040783,-159.770745954074,-118.626588680976,-117.407596583922,-123.888058062594,-117.199405454047
OML,0.7,-122.301532998538,-122.301532998538,-209.672339545146,-170.578536749443,-207.001717082882,-207.001717082882,-147.11540526201,-147.11540526201,-234.664716437955,-225.093436146462,-190.57612686807,-178.278622396472,-135.349649950828,-132.947692493355,-410.3599242291,-121.390646624023
OML,0.7,-130.638168862732,-130.638168862732,-316.841470891931,-243.388663604424,-186.548359118395,-186.548359118395,-157.352314420619,-157.352314420619,-244.151553055614,-226.222313175889,-282.091225937103,-239.377378034788,-134.907255338852,-131.632850298393,-200.448642505681,-196.516408656349
OML,0.7,-104.713634525542,-104.713634525542,-143.195757340989,-134.303204535977,-181.493026930849,-181.493026930849,-145.91719377344,-145.91719377344,-209.935847288218,-194.895581080655,-154.446385369839,-147.956596353083,-115.945079654605,-114.84957497594,-109.886136094965,-104.959707630101
OML,0.7,-132.610001096255,-132.610001096255,-173.181939225774,-166.278559179133,-198.767204267379,-198.767204267379,-159.952045267969,-159.952045267969,-220.58579891604,-214.311385326295,-211.008127851356,-186.733706128937,-189.907700948848,-140.203532420992,-421.79922114204,-134.229470236409
OML,0.7,-120.992427347158,-120.992427347158,-190.192997267414,-164.58663632413,-198.403330549311,-198.403330549311,-153.296943796697,-153.296943796697,-235.467945277676,-224.146949467097,-237.303286671843,-202.382239970238,-136.320230329169,-131.500665204516,-202.008444481562,-124.857059484394
OML,0.8,-135.632903877679,-135.632903877679,-160.761866475109,-154.102089539401,-210.065528663509,-210.065528663509,-175.812199788054,-175.812199788054,-242.948197361479,-232.982035618773,-199.932776903965,-183.061689202179,-147.556267452916,-143.075206202644,-202.590712995008,-157.251909004351
OML,0.8,-134.913520692304,-134.913520692304,-192.092836310012,-179.323360100992,-201.045563570487,-201.045563570487,-153.657954261694,-153.657954261694,-222.366741951257,-214.355044988413,-182.397437297658,-174.366955214547,-145.946196238098,-142.857663778347,-243.210726949103,-134.075890105073
OML,0.8,-184.471125958653,-184.471125958653,-267.357347346163,-246.228893262083,-216.424584134036,-216.424584134036,-212.668843048561,-212.668843048561,-258.655483222407,-249.652555203628,-322.621056578493,-297.990170674248,-199.210436475418,-191.562985826872,-216.822151183248,-197.469761720726
OML,0.8,-134.296748569632,-134.296748569632,-199.918435278546,-178.309485888259,-191.771107501336,-191.771107501336,-162.938274991766,-162.938274991766,-233.458880248537,-217.566770383748,-217.59316551815,-196.028880459977,-144.470494633214,-137.50530602049,-256.329004726846,-133.844652953271
OML,0.8,-140.638259489305,-140.638259489305,-202.194184961768,-187.465102908102,-223.576255353347,-223.576255353347,-168.552172213037,-168.552172213037,-296.299765661464,-282.649557290193,-232.344219398893,-217.416409882144,-148.853558009235,-146.536173852419,-183.865477676669,-144.176446728096
OML,0.8,-149.04814286102,-149.04814286102,-245.688564842673,-196.026494741711,-208.867625108122,-208.867625108122,-180.664064932726,-180.664064932726,-232.809879517546,-225.055747250618,-262.530783123766,-253.020334489121,-164.381835216135,-157.364131046691,-236.046199512372,-195.293411860631
OML,0.8,-142.35909523104,-142.35909523104,-223.622108454313,-195.157307389954,-213.741226557829,-213.741226557829,-164.823457838797,-164.823457838797,-245.617624185318,-232.917491397894,-275.85012915969,-209.462203973339,-171.657957047765,-161.16116918935,-143.399424984867,-142.070345834329
OML,0.8,-147.371358115658,-147.371358115658,-187.870621429821,-171.305968037185,-199.761119436453,-199.761119436453,-179.064131676611,-179.064131676611,-239.226965076318,-225.826300483874,-210.393651321665,-194.462145817688,-152.024845285368,-147.953397826935,-154.193839897092,-146.68885913312
OML,0.8,-160.82789582925,-160.82789582925,-208.991523162092,-178.333152027001,-207.873007330422,-207.873007330422,-183.624954567145,-183.624954567145,-271.157644628363,-237.265668667356,-198.991842705412,-191.426486166251,-168.919748352429,-167.338942732265,-544.491427825845,-156.314948054097
OML,0.8,-134.999049756946,-134.999049756946,-212.734768214683,-200.064949533802,-201.485156412303,-201.485156412303,-151.291657198083,-151.291657198083,-238.640319271473,-231.092871810183,-229.933625239518,-194.073514214087,-139.261334110475,-135.381810011189,-344.230160605498,-345.323374374001
OML,0.9,-165.704118201998,-165.704118201998,-192.761521150021,-186.709907120051,-191.49712358711,-191.49712358711,-183.635277781616,-183.635277781616,-235.891875639358,-220.00727362318,-221.79583019255,-192.946592428269,-168.175466237178,-166.371849451628,-171.107464864746,-166.130746169916
OML,0.9,-159.222209396541,-159.222209396541,-232.286036768426,-212.968263923783,-204.375031050995,-204.375031050995,-166.615707735648,-166.615707735648,-260.696415698803,-251.695062081631,-219.737939513069,-212.974418436776,-161.580213089117,-160.264367122131,-302.265796906578,-261.267974383401
OML,0.9,-143.129416367126,-143.129416367126,-176.595147652809,-167.972972468967,-186.260658150514,-186.260658150514,-165.40412497084,-165.40412497084,-218.754644774204,-210.581897680559,-179.302252799674,-171.134493689001,-155.337019191162,-151.870219445749,-149.210657428838,-141.380833303009
OML,0.9,-178.690464742221,-178.690464742221,-334.372063866059,-238.256201135774,-214.354822564635,-214.354822564635,-202.024996238271,-202.024996238271,-335.777843718344,-235.488107306797,-320.39504345471,-242.816137106185,-203.104239552182,-196.144391765897,-207.788883997154,-175.712157533024
OML,0.9,-153.022956225072,-153.022956225072,-191.459201600606,-178.194999418072,-224.595764047669,-224.595764047669,-181.375015857698,-181.375015857698,-323.29137071724,-272.174649606379,-219.26826043931,-211.692352873826,-167.716030654334,-157.658368639405,-282.614631469689,-157.933766082273
OML,0.9,-168.435841202389,-168.435841202389,-230.043475920626,-212.679022902782,-206.000537207008,-206.000537207008,-187.101628502425,-187.101628502425,-258.516758883723,-243.963443354369,-249.319688748852,-229.484546032596,-172.321274232474,-166.277499423627,-196.144737687973,-188.21529647461
OML,0.9,-164.752942327442,-164.752942327442,-262.262440666946,-235.993887466728,-196.641753819601,-196.641753819601,-188.569690912662,-188.569690912662,-242.241736468437,-219.190886556261,-358.991149126443,-275.248621589905,-170.537424963103,-168.94127467036,-275.673216252808,-243.934413689823
OML,0.9,-142.947143835913,-142.947143835913,-200.511181106091,-165.141781880584,-200.320174114158,-200.320174114158,-165.393156479787,-165.393156479787,-252.286640482459,-216.474253838233,-229.153268890672,-185.650039972268,-152.705611817069,-149.440663527287,-212.398708159257,-148.053721723611
OML,0.9,-139.363369715717,-139.363369715717,-197.283725442088,-188.181317449622,-195.287531198156,-195.287531198156,-164.426983614316,-164.426983614316,-388.366512240735,-234.146087836767,-207.161559837952,-197.057111558349,-155.476153210553,-147.462279093836,-223.600789865367,-141.248998100575
OML,0.9,-136.766011167215,-136.766011167215,-191.324442319011,-179.551209085395,-198.787447768523,-198.787447768523,-163.741960173297,-163.741960173297,-238.645794561898,-228.4639203116,-271.195805317848,-222.680245954779,-141.628685997166,-140.363409332035,-261.33674687436,-223.519509265497
OML,1,-171.600785747806,-171.600785747806,-216.973314760861,-176.222299182967,-212.311600574703,-212.311600574703,-180.030997771071,-180.030997771071,-263.196701518223,-222.133188017809,-224.979303649483,-184.62228378427,-181.269327989034,-173.818482739751,-315.759785181189,-240.114845176404
OML,1,-164.876924834526,-164.876924834526,-226.553385792671,-188.003485438154,-226.2839226014,-226.2839226014,-183.590457937145,-183.590457937145,-331.276296089312,-268.333560703851,-259.190508445326,-208.39269048382,-198.726224331665,-171.384210944465,-181.408328780144,-171.28449530817
OML,1,-167.200031546727,-167.200031546727,-1478.20029291904,-248.551245703581,-211.23531440907,-211.23531440907,-193.725799210106,-193.725799210106,-242.08872314103,-233.293064659287,-222.319448261742,-206.069624225755,-170.040757546745,-169.794487471765,-171.296605904329,-166.767796992695
OML,1,-183.463171418122,-183.463171418122,-242.108059402841,-220.061970629177,-207.454301232544,-207.454301232544,-200.490831679854,-200.490831679854,-274.274171855045,-247.355655755948,-245.28754871794,-228.02657489066,-188.904381546604,-187.257141725029,-244.100691480002,-185.275155593156
OML,1,-159.028235193455,-159.028235193455,-206.986305780202,-185.462786780571,-212.997858589659,-212.997858589659,-175.769001042165,-175.769001042165,-269.04424158012,-238.173234111568,-226.720536465967,-201.324186231655,-171.27243813397,-162.770104248449,-321.099896286604,-226.979401565319
OML,1,-159.254791624024,-159.254791624024,-200.131135216134,-194.263104907028,-191.92697951796,-191.92697951796,-173.35636853383,-173.35636853383,-240.160704187267,-230.9912833538,-217.159331567323,-201.877220409821,-165.595460155379,-162.986543736717,-205.64613543883,-163.858841493103
OML,1,-174.058457553642,-174.058457553642,-202.086881208979,-194.764696773427,-214.831985737013,-214.831985737013,-188.820313387097,-188.820313387097,-263.617790361749,-254.840674247756,-210.224613597535,-199.75380490861,-181.816098838843,-180.171781062412,-348.268147736136,-208.795559520782
OML,1,-141.202981464993,-141.202981464993,-176.293601094553,-167.254050870708,-204.48454475727,-204.48454475727,-164.854156802046,-164.854156802046,-241.217932554578,-227.944273897323,-210.501180427621,-176.313373104953,-157.453818252866,-154.902393978502,-200.960141732194,-144.708827576619
OML,1,-161.858621473322,-161.858621473322,-191.996690469807,-187.699510040884,-220.767410108796,-220.767410108796,-174.298928358257,-174.298928358257,-248.244277147497,-238.417516345886,-205.084879033647,-196.494233595193,-170.593321250745,-169.604939511613,-390.565411304704,-162.822228108355
OML,1,-174.536008184491,-174.536008184491,-241.049839024845,-231.105896904731,-207.336504649531,-207.336504649531,-192.83799319633,-192.83799319633,-257.608349788598,-246.75055292459,-246.044490993741,-228.755923628079,-185.119893000512,-181.841127331464,-264.947408870957,-244.600369733765
OML,1.1,-172.141035269561,-172.141035269561,-262.610263368046,-213.099431074188,-200.075582437458,-200.075582437458,-195.316405955061,-195.316405955061,-320.559235797115,-236.276009620415,-275.604443381539,-241.064410015843,-179.952016441475,-178.451226473239,-280.532419333391,-197.969824779932
OML,1.1,-167.387568827402,-167.387568827402,-201.67347299898,-192.118720214198,-219.545699315217,-219.545699315217,-171.649950744152,-171.649950744152,-250.45489208687,-243.532653933695,-215.775159608655,-207.690290208851,-172.054922057117,-171.317178802508,-312.256112695874,-203.524059845987
OML,1.1,-205.450273596072,-205.450273596072,-306.548317440743,-291.374472367732,-236.422670825649,-236.422670825649,-196.092142471511,-196.092142471511,-276.90281782205,-263.702074663576,-282.104896700312,-265.853899587642,-227.650092509099,-227.033248540877,-333.535502905546,-314.316296454668
